ID,Name,Category,Price
1,Item1,Home,471.11
2,Item2,Books,48.98
3,Item3,Sports,25.01
4,Item4,Sports,197.83
5,Item5,Sports,76.7
6,Item6,Books,106.54
7,Item7,Home,336.31
8,Item8,Clothing,460.53
9,Item9,Home,166.51
10,Item10,Electronics,282.08
11,Item11,Sports,436.04
12,Item12,Sports,198.24
13,Item13,Clothing,288.69
14,Item14,Clothing,38.9
15,Item15,Home,139.26
16,Item16,Home,111.46
17,Item17,Electronics,87.98
18,Item18,Electronics,65.43
19,Item19,Sports,424.57
20,Item20,Home,432.14
21,Item21,Books,456.48
22,Item22,Sports,29.56
23,Item23,Electronics,199.04
24,Item24,Electronics,464.17
25,Item25,Home,381.09
26,Item26,Electronics,494.96
27,Item27,Books,490.68
28,Item28,Electronics,243.53
29,Item29,Clothing,187.35
30,Item30,Sports,289.35
31,Item31,Books,359.56
32,Item32,Home,309.66
33,Item33,Electronics,26.37
34,Item34,Sports,289.7
35,Item35,Books,167.38
36,Item36,Electronics,271.28
37,Item37,Electronics,224.46
38,Item38,Sports,385.99
39,Item39,Home,214.37
40,Item40,Electronics,92.59
41,Item41,Books,434.78
42,Item42,Sports,408.57
43,Item43,Sports,431.7
44,Item44,Sports,390.72
45,Item45,Clothing,314.43
46,Item46,Home,310.45
47,Item47,Electronics,291.37
48,Item48,Home,149.26
49,Item49,Electronics,472.59
50,Item50,Home,189.22
51,Item51,Home,194.33
52,Item52,Books,310.03
53,Item53,Electronics,499.06
54,Item54,Books,26.69
55,Item55,Sports,73.05
56,Item56,Sports,394.76
57,Item57,Electronics,77.85
58,Item58,Sports,39.61
59,Item59,Clothing,64.56
60,Item60,Clothing,57.47
61,Item61,Sports,493.69
62,Item62,Electronics,427.46
63,Item63,Sports,475.53
64,Item64,Sports,204.96
65,Item65,Clothing,293.78
66,Item66,Books,417.64
67,Item67,Sports,261.58
68,Item68,Books,374.91
69,Item69,Sports,360.59
70,Item70,Electronics,493.49
71,Item71,Electronics,349.04
72,Item72,Home,158.0
73,Item73,Clothing,256.93
74,Item74,Sports,493.75
75,Item75,Sports,323.85
76,Item76,Books,120.38
77,Item77,Home,142.62
78,Item78,Sports,144.12
79,Item79,Electronics,284.11
80,Item80,Sports,452.47
81,Item81,Home,370.29
82,Item82,Home,133.97
83,Item83,Clothing,88.32
84,Item84,Sports,163.13
85,Item85,Home,356.64
86,Item86,Electronics,108.8
87,Item87,Sports,73.0
88,Item88,Home,271.76
89,Item89,Electronics,250.94
90,Item90,Home,490.66
91,Item91,Electronics,403.29
92,Item92,Home,40.2
93,Item93,Sports,145.54
94,Item94,Home,386.33
95,Item95,Electronics,452.27
96,Item96,Clothing,14.63
97,Item97,Sports,393.59
98,Item98,Books,445.42
99,Item99,Clothing,299.36
100,Item100,Books,251.13
101,Item101,Books,58.17
102,Item102,Books,62.44
103,Item103,Home,349.01
104,Item104,Electronics,135.94
105,Item105,Sports,144.54
106,Item106,Home,60.29
